Name,Team,WPA,-WPA,+WPA,pLI,Pulls,WPA/LI,Clutch,SD,MD,SV,BS,IP,FIP,WAR,HLD,ERA-,NameASCII,PlayerId,MLBAMID
"Hunter Gaddis","CLE",2.0501783937215805,-3.870340049266815,5.920518189668655,1.2465943951279885,50,1.9809337183833122,-0.33631025325768293,28,5,0,4,63.1,3.087656849634075,1.2829315960407257,24,38.56369874840459,"Hunter Gaddis",25636,683769
"Jack Armstrong","- - -",1.1446919925510883,-1.543503967113793,2.68819597736001,0.665928013359179,12,1.2627071514725685,0.4562353912459045,7,0,0,,51.1,3.547657707113963,0.44108682312071323,,41.42486323170447,"Jack Armstrong",1000313,110325
"Emmanuel Clase","- - -",7.072280086576939,-32.002405881881714,39.074684619903564,1.8214585316383232,58,6.789512574672699,-2.906756001446885,134,42,144,24,289.2,2.3685964946842017,8.27022334933281,10,42.40811997599432,"Emmanuel Clase",21032,661403
"Devin Williams","MIL",12.20023450255394,-20.837193055078387,33.037426859140396,2.003180557177397,141,5.093328285962343,0.9971034820779829,135,22,54,9,216,2.427747650971128,6.791084665805101,60,44.289317771452794,"Devin Williams",15816,642207
"Cal Quantrill","- - -",1.4930106867104769,-2.841889515519142,4.334900200366974,0.8717099182478344,34,0.8167925477027893,0.8959454348034526,14,4,1,1,61.1,3.886685411779,0.5041537284851074,4,44.611505984218915,"Cal Quantrill",19312,615698
"Mariano Rivera","NYY",55.75539103895426,-124.96325957775116,180.7186576128006,1.9035540977204475,153,33.36090913414955,-4.070755990762294,580,121,652,46,1233.2,2.674802122935043,38.64618279784918,2,45.78382653487499,"Mariano Rivera",844,121250
"Félix Bautista","BAL",7.347921848297119,-11.560862064361572,18.90878391265869,1.8667774111545337,45,2.5911943912506104,1.3449587914433554,64,11,48,8,126.2,2.415319111135795,4.135001540184021,14,46.951541320405696,"Felix Bautista",20666,642585
"Tejay Antone","CIN",2.0303740724921227,-3.999056003987789,6.029430091381073,1.242176171312941,32,1.4193039499223232,0.215225933504825,15,7,3,5,58.1,2.993690673706534,1.3896502070128918,10,47.82572122085039,"Tejay Antone",16233,622088
"Zack Britton","- - -",15.815793622750789,-34.09813821874559,49.91393633233383,1.6346399511375715,146,8.400850847363472,1.2745480756497152,187,38,154,20,391,3.0801072262722995,7.355803897604346,61,47.849783527929745,"Zack Britton",3240,502154
"Julio Urías","LAD",0.42781408253358677,-4.11834391951561,4.546158225566614,0.9839419139262255,25,0.9774708114564419,-0.5426747361205724,13,8,4,1,67,3.424950316076013,0.8534264080226421,5,51.28254011495858,"Julio Urias",14765,628711
"Mike Crudale","- - -",0.36952799558639526,-3.678124099969864,4.047652095556259,0.7659367819950713,50,0.8122669458389282,-0.3298146021561135,9,9,0,2,71.1,3.4167742536463397,0.8619977757334709,10,52.36097352115843,"Mike Crudale",1148,407866
"Steve Foster","CIN",2.287976011633873,-3.9626020789146423,6.250578045845032,0.9278288783336227,39,0.7301451489329338,1.7358009593010215,16,9,2,,86.1,3.006594687540348,1.0810864716768265,,53.23588435782262,"Steve Foster",1004260,114339
"Billy Wagner","- - -",28.398847898934036,-95.05153582664207,123.4503824734129,1.8050184677980639,150,17.877796394750476,-2.144523630191065,387,100,422,40,903,2.732217527396218,23.982431590324268,7,54.025504106571724,"Billy Wagner",578,123790
"Cade Smith","CLE",1.6689343452453613,-2.816023826599121,4.484958171844482,1.0937374830245972,50,1.6202515363693237,-0.09435124388768767,22,6,1,2,54,1.4639762691344698,1.8369656801223755,16,54.10692446958152,"Cade Smith",27867,671922
"Carson Smith","- - -",2.2053059935569763,-11.06425379216671,13.26955796778202,1.8019130723740124,77,1.8805600702762604,-0.6566908241025282,50,15,14,6,102,2.3254403809892086,2.5021618343889713,30,54.91978251196634,"Carson Smith",13172,605476
"Melido Perez","- - -",1.1361240493133664,-6.7606119101983495,7.896735840244219,1.1670754404270394,26,1.863381914794445,-0.8899023864293787,18,10,1,,90,2.669592539700286,2.13032481726259,,55.04167160827236,"Melido Perez",1010183,120411
"Takashi Saito","- - -",9.973966166377068,-25.07552260160446,35.04948925971985,1.3233376765504796,149,5.725441142916679,1.8115362613510086,124,38,84,16,338,2.809268940341414,8.222931981086731,40,55.07248129625683,"Takashi Saito",6021,493416
"Pedro Martinez","- - -",3.7654219334945083,-7.621766009368002,11.3871881775558,1.378335640179795,44,1.9117122497409582,0.8201491515961887,33,11,3,,107.1,3.1226261919506504,1.6255756234750152,,56.052460309598025,"Pedro Martinez",200,118377
"David Palmer","MON",0.333595959469676,-4.020636111497879,4.354231825098395,1.0306880587881262,22,0.5611237846314907,-0.2374604253587393,8,8,2,,65.1,3.0762775215417104,0.5570977553725243,,56.45278723632099,"David Palmer",1009970,120193
"John Montefusco","- - -",0.958137929905206,-7.13884199410677,8.096979882568121,0.9791926830451682,37,0.8672182344598696,0.11127961023961852,18,12,5,,112.1,3.5129851791508755,0.8844112940132618,,56.53867891046418,"John Montefusco",1009065,119261
"Adrian Houser","- - -",0.6932583113666624,-3.7367279150057584,4.429986242670566,0.6021065688522907,22,0.20307697635143995,0.9483110789028335,10,7,1,0,97,3.957577718227038,0.44375289464369416,2,57.118894396572465,"Adrian Houser",12718,605288
"John Smoltz","ATL",14.4481703042984,-23.38775384426117,37.835922092199326,1.817316118891335,38,6.394610792398453,1.5556682779883753,130,20,154,14,261.1,2.306661405091186,8.577173501253128,0,57.32877614633458,"John Smoltz",115,122477
"Koji Uehara","- - -",12.877526313066483,-28.541323959827423,41.41885054111481,1.308404230407148,217,10.024002507328987,-0.1818405715950533,182,43,95,18,414,2.7357390177633327,10.083132952451706,81,57.421001319582935,"Koji Uehara",9227,493157
"Steven Shell","WSN",0.5154499560594559,-2.978068172931671,3.4935179948806763,0.8732016560766432,36,1.0106409043073654,-0.420342028357669,8,7,2,1,55,4.18338794439865,0.2751606460660696,8,57.447332406756644,"Steven Shell",3681,434579
"Drew Pomeranz","- - -",2.7925758864730597,-11.091713751666248,13.88429031521082,1.1877202053352263,119,3.1310617551207542,-0.7798549019167429,52,21,9,4,160,2.949184436702439,3.2013229578733444,47,58.02605903190151,"Drew Pomeranz",11426,519141
"Bryan Hudson","- - -",2.376318110153079,-3.0707859843969345,5.447104334831238,1.0993489800137954,35,1.3694360852241516,0.7921324006294115,21,5,0,2,59.1,3.7197667966862995,0.6650377279147506,12,58.1156260276347,"Bryan Hudson",19924,663542
"Jonathan Papelbon","- - -",28.11436215043068,-72.96181237697601,101.07617115974426,1.8261887088109099,101,13.7599444873631,1.6351578998030334,339,73,368,49,709.2,2.7588935374980106,19.245945766568184,8,58.480283126033136,"Jonathan Papelbon",5975,449097
"Akinori Otsuka","- - -",4.9360358119010925,-26.16258955001831,31.09862184524536,1.7652014847467785,140,3.354257345199585,-0.557955702268905,110,36,39,18,232,2.955037217056248,5.234874844551086,74,58.60049079205149,"Akinori Otsuka",1895,430788
"Joe Nathan","- - -",30.733389848377556,-68.51314969929808,99.24653884093277,1.7129466527943975,171,16.86415252275765,1.077672926529381,350,71,377,45,761,2.852725361136699,19.53340438939631,28,58.819863153572925,"Joe Nathan",1122,150274
"Taylor Buchholz","- - -",2.006651884119492,-10.128327801823616,12.134979879658204,0.9916720013640787,93,2.4477805346250534,-0.42427691512256294,37,19,1,2,160.2,3.6924960353168124,1.987532826140523,27,59.06898480602396,"Taylor Buchholz",2168,430587
"Craig Kimbrel","- - -",23.369764804840088,-86.4836842417717,109.85344886779785,1.8153432793009858,180,15.023697040975094,-2.1502283855928326,399,104,440,59,798.1,2.52292825164017,22.004859410226345,26,59.40077127208337,"Craig Kimbrel",6655,518886
"John Wetteland","- - -",21.294937692582607,-79.367242410779,100.66217260807753,1.9322935196676936,78,12.171849243342876,-1.1512990651045278,275,84,330,,683,3.1198503144938843,15.325400039553642,,59.74164653873207,"John Wetteland",1013815,124123
"Garrett Whitlock","BOS",3.6630468666553497,-9.788909316062927,13.451956152915955,1.2461389457939747,56,1.98183174431324,0.9576854572147546,39,13,9,6,132.2,3.0225547221351636,2.5114821940660477,21,59.86570665583957,"Garrett Whitlock",20191,676477
